newpid,exchange,beta1,abs_ret_se,beta2,pos_se,beta3,interact_se,abs_ret_pval,pos_pval,interact_pval,r2_w,r2_b,r2_o,rho,n_panels,avg_dates,total_obs,beta1_flag,beta2_flag,beta3_flag,summation,freq
NNN,simex,.023637803,.038359091,-.058879409,.17154038,-.0036025788,.053089369,.55151504,.73852503,.9472357,.00082144869,.47131655,.0039851391,.97787732,11,225.27272,2478,N,N,N,.020035224,58
NNN,getbtc,-.01161014,.053783618,.59406924,.21735212,-.098278068,.025507901,.84910631,.11184648,.061242077,.0020987845,.59963191,.0020496952,.037074942,3,392.33334,1177,N,N,N,-.10988821,58
NNN,huobiind,-.0053486703,.0091067441,-.11520517,.065168232,.011404387,.011063488,.5582425,.079997145,.30499715,.00076835108,.034628872,.00043315854,.95663124,106,286.64151,30384,N,N,N,.0060557164,58
NNN,btcx,.020949829,.024843927,.046210971,.17870779,-.15046251,.041378785,.55400538,.83890897,.17085351,.036752183,1,.034795709,.049052376,2,200,400,N,N,N,-.12951268,58
NNN,localtrade,-.0012448672,.0023625789,.014712634,.015462527,-.0037200535,.0052964846,.60010636,.3449856,.48504001,.00073426613,.0066478937,.0010091435,.13873547,64,439.28125,28114,N,N,N,-.0049649207,58
NNN,catex,-.21193901,.62756985,-.24654929,.25233346,.77235389,.7272982,.75255799,.38385537,.34812114,.0095253233,.789662,.0038250068,.96457386,5,115.8,579,N,N,N,.56041491,58
NNN,fybsg,.19763224,0,-.27764964,0,-.38046709,0,,,,.048274707,,.048274707,,1,1211,1211,N,N,N,-.18283485,58
NNN,mtgox,-.0016224138,0,.0048128231,0,-.00022097814,0,,,,.028342374,,.028342374,,1,995,995,N,N,N,-.0018433919,58
NNN,bitexla,.13579316,.1228114,.78362203,.36243761,-.25048509,.11640355,.31919694,.082967848,.084046282,.00064337492,.016330879,.000064968874,.51104057,6,360.83334,2165,N,N,N,-.11469193,58
NNN,hbdm,.006174088,.014581065,.0032589119,.048043922,-.0098073771,.014418965,.67379612,.94618994,.49953294,.0021580965,.28910753,.0013986417,.07496921,51,457.4902,23332,N,N,N,-.0036332891,58
